org_id,org_name,org_industry
0,United States Department of Veterans Affairs,Public
1,Corvallis Clinic,Healthcare
2,Jersey City Medical Center,Healthcare
3,Universal Jobmatch,Information
4,Lexington Medical Center,Healthcare
5,Azerenerji,Utilities
6,Sutter Medical Foundation,Other Services
7,Quebec Liberals,Public
8,University Hospitals,Healthcare
9,Internal Revenue Service,Public
10,Ridgeview Medical Center,Healthcare
11,Burlington Northern Santa Fe Group Benefits Plan,Finance
12,Blue Cross and Blue Shield of Rhode Island,Finance
13,Jammu and Kashmir police,Public
14,Friendship Center Dental Office,Healthcare
15,Boston University,Educational
16,Southern Michigan Bank and Trust,Finance
17,University of Pennsylvania Health System,Healthcare
18,Clark County school District,Educational
19,"Amerigroup Community Care of New Mexico, Inc",Healthcare
20,Sands Lothians,Healthcare
21,Hellgate High School,Educational
22,St. Mary's Janesville Hospital,Healthcare
23,Combined Systems,Manufacturing
24,UK National Health Service,Finance
25,Tesco Petrol Station,Retail
26,Visiting Nurse Service Association of Schenectady County,Healthcare
27,Northrop Grumman Corporation,Manufacturing
28,"Mangement of Aggressive Behavior Training International, Inc",Educational
29,Terrasse-Vaudreuil Municipality,Public
30,Century National Bank,Finance
31,Luxor Industries,Healthcare
32,Rose Medical Center,Healthcare
33,NASA Jet Propulsion Laboratory,Public
34,Aptean,Professional
35,National Organization for Marriage,Other Services
36,Syrian Arab News Agency,Information
37,Mackenzie Health,Healthcare
38,Pierce County Housing Authority,Public
39,Eastern Buffet,Accomodation
40,Kmart,Retail
41,Town of LaSalle,Public
42,New York Times,Information
43,Mutuelle Generale de la Police,Finance
44,Montana Department of Public Health and Human Services,Public
45,UConn Health Center,Healthcare
46,New River Health Association,Healthcare
47,America OnLine (AOL),Information
48,Human Resources and Skills Development Canada,Administrative
49,Alamance County Department of Social Services,Administrative
50,RU The Central Bank of the Russian Federation,Finance
51,Telvent Canada Ltd,Professional
52,US National Security Agency (NSA),Public
53,Region of Peel,Unknown
54,Delta Dental of Pennsylvania,Finance
55,Snapchat,Information
56,American Senior Communities,Healthcare
57,Hitachi Payment Services,Trade
58,Medway Maritime Hospital,Healthcare
59,Sault Area Hospital,Healthcare
60,Group Health Incorporated,Finance
61,Experian,Administrative
62,Operation for Security and Cooperation in Europe,Other Services
63,Group Health Cooperative,Finance
64,Montefiore Medical Center,Healthcare
65,"Alere Home Monitoring, Inc.",Healthcare
66,Flowers Hospital,Healthcare
67,Eastern Health Authority,Healthcare
68,Eureka Internal Medicine,Healthcare
69,Care2,Other Services
70,Embassy Suites,Accomodation
71,Temple Street Children's Hospital,Healthcare
72,Southern District Health Board,Healthcare
73,Trion Worlds,Information
74,Winthrop-University Hospital,Healthcare
75,Chevron Gas Station,Retail
76,Plymouth City Council,Public
77,Victoria's Metro Trains,Transportation
78,"Alabama Book Store, Inc.",Retail
79,Last.fm,Information
80,Xerox Corporation,Administrative
81,Graybill Medical Group,Healthcare
82,Virginia Department of Human Resources Management,Public
83,Groupon Taiwan,Professional
84,Singapore Prime Minister's Office,Public
85,Lutheran Community Services Northwest,Healthcare
86,Laborers' Health & Welfare Trust Fund for Northern California,Finance
87,Florida Department of Juvenile Justice,Public
88,Massachusetts Eye and Ear Infirmary,Healthcare
89,University of Missouri Health Care,Healthcare
90,"Radiology Regional Center, PA",Healthcare
91,Epic Systems,Information
92,"Shire Human Genetic Therapies, Inc.",Professional
93,"South Shore Physicians, PC",Healthcare
94,Coast Capital Savings Credit Union,Finance
95,Robbins Eye Center,Healthcare
96,Creative Banner Assemblies,Manufacturing
97,Centers for Medicare & Medicaid Services,Public
98,Earthquake Recovery Commission,Public
99,GetME,Transportation
100,Plastic Surgery Associates of South Dakota,Healthcare
101,Web.com,Information
102,City of Henderson,Public
103,Teachers Insurance and Annuity Association - College Retirement Equities Fund,Finance
104,NZ Government of New Zealand,Public
105,Library Systems & Services,Professional
106,DJArts,Information
107,Viber,Information
108,Walsh Pharmacy,Retail
109,Kenya National Registration Bureau,Public
110,Marin Healthcare District,Healthcare
111,Mart Moble Stations,Retail
112,"Thomas L. Davis, Jr. DDS",Healthcare
113,Jackson Health System,Healthcare
114,"Michael S. Benjamin, M.D.",Healthcare
115,"CardioNet, Inc",Manufacturing
116,Brigham and Women's Hospital,Healthcare
117,NATO Cooperative Cyber Defence Centre of Excellence,Other Services
118,Edgepark Medical Supplies,Trade
119,Citywide Mortgage,Finance
120,Horizon THC,Retail
121,Guidance Residential,Finance
122,Bon Secours DePaul Medical Center,Healthcare
123,Regina Qu'Appelle Regional Health Authority,Healthcare
124,TriHealth,Healthcare
125,Government of Albania,Public
126,South African Standard Bank,Finance
127,L.A. Gay & Lesbian Center,Other Services
128,Walgreen Co.,Retail
129,St. Joseph Heritage Healthcare,Healthcare
130,"Blount Memorial Hospital, Inc",Healthcare
131,NextBus,Information
132,Battlefield,Unknown
133,OneWest Bank FSB,Finance
134,Alexza Pharmaceuticals,Manufacturing
135,American Type Culture Collection,Manufacturing
136,Hollywood Presbyterian Medical Center,Healthcare
