ACTOR_ID,INCIDENT_ID,ACTOR_TYPE,ACTOR_PATTERN
1,1,Internal,Privilege Misuse
2,2,External,Lost and Stolen Assets
3,3,Partner,Lost and Stolen Assets
4,4,External,Web Applications
5,5,Internal,Miscellaneous Errors
6,6,Internal,Miscellaneous Errors
7,7,External,Web Applications
8,8,External,Web Applications
9,9,External,Lost and Stolen Assets
10,10,External,Web Applications
11,11,Internal,Miscellaneous Errors
12,12,Internal,Lost and Stolen Assets
13,13,Internal,Privilege Misuse
14,14,Internal,Miscellaneous Errors
15,15,Internal,Lost and Stolen Assets
16,16,Internal,Miscellaneous Errors
17,17,External Internal,Privilege Misuse
18,18,External,Lost and Stolen Assets
19,19,External,Crimeware
20,20,External,Lost and Stolen Assets
21,21,External,Lost and Stolen Assets
22,22,Internal,Privilege Misuse
23,23,External,Web Applications
24,24,Internal,Miscellaneous Errors
25,25,Unknown,Miscellaneous Errors
26,26,External,Lost and Stolen Assets
27,27,External,Lost and Stolen Assets
28,28,Internal,Miscellaneous Errors
29,29,External,Lost and Stolen Assets
30,30,External,Web Applications
31,31,Partner,Miscellaneous Errors
32,32,External,Payment Card Skimmers
33,33,Internal,Miscellaneous Errors
34,34,Internal,Privilege Misuse
35,35,External,Lost and Stolen Assets
36,36,External,Cyber-Espionage
37,37,External,Everything Else
38,38,External,Web Applications
39,39,Internal,Privilege Misuse
40,40,Internal,Miscellaneous Errors
41,41,Internal,Miscellaneous Errors
42,42,External Unknown,Lost and Stolen Assets
43,43,External,Lost and Stolen Assets
44,44,External,Everything Else
45,45,External,Everything Else
46,46,External,Denial of Service
47,47,Internal,Miscellaneous Errors
48,48,External Internal,Privilege Misuse
49,49,Internal,Miscellaneous Errors
50,50,Internal,Privilege Misuse
51,51,Internal,Miscellaneous Errors
52,52,Internal Partner,Miscellaneous Errors
53,53,External,Web Applications
54,54,External Internal,Privilege Misuse
55,55,Internal,Privilege Misuse
56,56,Internal,Miscellaneous Errors
57,57,Internal,Miscellaneous Errors
58,58,Internal,Miscellaneous Errors
59,59,External,Privilege Misuse
60,60,Unknown,Everything Else
61,61,Internal,Miscellaneous Errors
62,62,Internal,Lost and Stolen Assets
63,63,Internal,Privilege Misuse
64,64,External,Denial of Service
