ORG_ID,ORG_NAME,ORG_INDUSTRY
1,United States Department of Veterans Affairs,Public 
2,Corvallis Clinic,Healthcare 
3,Jersey City Medical Center,Healthcare 
4,Universal Jobmatch,Information 
5,United States Department of Veterans Affairs,Public 
6,United States Department of Veterans Affairs,Public 
7,Lexington Medical Center,Healthcare 
8,Azerenerji,Utilities 
9,Sutter Medical Foundation,Other Services 
10,Quebec Liberals,Public 
11,United States Department of Veterans Affairs,Public 
12,University Hospitals,Healthcare 
13,Internal Revenue Service,Public 
14,Ridgeview Medical Center,Healthcare 
15,Burlington Northern Santa Fe Group Benefits Plan,Finance 
16,Blue Cross and Blue Shield of Rhode Island,Finance 
17,Jammu and Kashmir police,Public 
18,Friendship Center Dental Office,Healthcare 
19,Boston University,Educational 
20,southern Michigan Bank and Trust,Finance 
21,University of Pennsylvania Health System,Healthcare 
22,NA,Retail 
23,Unknown,Healthcare 
24,United States Department of Veterans Affairs,Public 
25,Clark County school District,Educational 
26,"Amerigroup Community Care of New Mexico, Inc",Healthcare 
27,Sands Lothians,Healthcare 
28,Hellgate High School,Educational 
29,St. Mary's Janesville Hospital,Healthcare 
30,Combined Systems,Manufacturing 
31,UK National Health Service,Finance 
32,Tesco Petrol Station,Retail 
33,United States Department of Veterans Affairs,Public 
34,United States Department of Veterans Affairs,Public 
35,Visiting Nurse Service Association of Schenectady County,Healthcare 
36,Northrop Grumman Corporation,Manufacturing 
37,"Mangement of Aggressive Behavior Training International, Inc",Educational 
38,Terrasse-Vaudreuil Municipality,Public 
39,Century National Bank,Finance 
40,Luxor Industries,Healthcare 
41,Rose Medical Center,Healthcare 
42,NA,Healthcare 
43,NASA Jet Propulsion Laboratory,Public 
44,Aptean,Professional 
45,National Organization for Marriage,Other Services 
46,Syrian Arab News Agency,Information 
47,Mackenzie Health,Healthcare 
48,Unknown,Accomodation 
49,Pierce County Housing Authority,Public 
50,Eastern Buffet,Accomodation 
51,Kmart,Retail 
52,Town of LaSalle,Public 
53,New York Times,Information 
54,Mutuelle Generale de la Police,Finance 
55,Unknown,Healthcare 
56,United States Department of Veterans Affairs,Public 
57,United States Department of Veterans Affairs,Public 
58,Montana Department of Public Health and Human Services,Public 
59,UConn Health Center,Healthcare 
60,New River Health Association,Healthcare 
61,America OnLine (AOL),Information 
62,Human Resources and Skills Development Canada,Administrative 
63,Alamance County Department of Social Services,Administrative 
64,RU The Central Bank of the Russian Federation,Finance 
65,Telvent Canada Ltd,Professional 
66,US National Security Agency (NSA),Public 
67,Region of Peel,Unknown
68,Delta Dental of Pennsylvania,Finance 
69,Snapchat,Information 
70,American Senior Communities,Healthcare 
71,Hitachi Payment Services,Trade 
72,United States Department of Veterans Affairs,Public 
73,United States Department of Veterans Affairs,Public 
74,Medway Maritime Hospital,Healthcare 
75,Sault Area Hospital,Healthcare 
76,Group Health Incorporated,Finance 
77,Experian Plc,Administrative 
78,Operation for Security and Cooperation in Europe,Other Services 
79,Group Health Cooperative,Finance 
80,United States Department of Veterans Affairs,Public 
81,Montefiore Medical Center,Healthcare 
82,"Alere Home Monitoring, Inc.",Healthcare 
83,Flowers Hospital,Healthcare 
84,Eastern Health,Healthcare 
85,Eureka Internal Medicine,Healthcare 
86,Care2,Other Services 
87,Embassy Suites,Accomodation 
88,United States Department of Veterans Affairs,Public 
89,Temple Street Children's Hospital,Healthcare 
90,Southern District Health Board,Healthcare 
91,Trion Worlds,Information 
92,Winthrop-University Hospital,Healthcare 
93,Chevron Gas Station,Retail 
94,Plymouth City Council,Public 
95,Victoria's Metro Trains,Transportation 
96,"Alabama Book Store, Inc.",Retail 
97,Last.fm,Information 
98,Xerox Corporation,Administrative 
99,Graybill Medical Group,Healthcare 
100,Virginia Department of Human Resources Management,Public 
101,Groupon Taiwan,Professional 
102,Singapore Prime Minister's Office,Public 
103,Lutheran Community Services Northwest,Healthcare 
104,Laborers' Health & Welfare Trust Fund for Northern California,Finance 
105,Florida Department of Juvenile Justice,Public 
106,Massachusetts Eye and Ear Infirmary,Healthcare 
107,University of Missouri Health Care,Healthcare 
108,"Radiology Regional Center, PA",Healthcare 
109,Epic Systems,Information 
110,"Shire Human Genetic Therapies, Inc.",Professional 
111,"South Shore Physicians, PC",Healthcare 
112,Coast Capital Savings Credit Union,Finance 
113,Robbins Eye Center,Healthcare 
114,Creative Banner Assemblies,Manufacturing 
115,Centers for Medicare & Medicaid Services,Public 
116,Earthquake Recovery Commission,Public 
117,GetME,Transportation 
118,Plastic Surgery Associates of South Dakota,Healthcare 
119,Web.com,Information 
120,City of Henderson,Public 
121,United States Department of Veterans Affairs,Public 
122,United States Department of Veterans Affairs,Public 
123,United States Department of Veterans Affairs,Public 
124,Teachers Insurance and Annuity Association - College Retirement Equities Fund,Finance 
